WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow,ConditionID
SW,SE,SW,No,No,248
ESE,SSE,SE,No,No,249
WSW,E,SW,No,No,250
W,SSE,SSW,No,No,251
W,SSE,S,No,No,252
N,S,W,No,No,253
NW,NNE,WNW,No,No,254
NW,SSE,WNW,No,Yes,255
NE,NE,SSE,Yes,Yes,256
W,WSW,S,No,No,257
WNW,SSE,S,No,No,258
N,SE,WNW,No,Yes,259
W,WNW,NW,No,Yes,260
WNW,WSW,WNW,Yes,Yes,261
SE,SSE,SE,Yes,No,262
E,SE,SE,No,No,263
W,S,NNW,No,No,264
WSW,SW,SW,No,No,265
W,SE,WSW,No,No,266
W,NE,W,No,No,267
SW,WSW,SW,No,Yes,268
WNW,SSW,NW,Yes,No,269
WSW,ENE,SW,No,No,270
SW,SSE,WSW,No,No,271
SSW,SE,S,No,No,272
NNW,SSE,NNE,No,No,273
NW,S,WNW,No,Yes,274
W,NW,W,Yes,No,275
WSW,SSE,WSW,No,No,276
NNW,SSE,ESE,No,No,277
NW,ESE,NW,No,No,278
E,SE,N,No,No,279
NNE,N,NNW,No,Yes,280
N,SSE,NW,No,No,281
ENE,S,NE,No,No,282
SSE,ENE,NE,No,No,283
N,S,NE,No,No,284
N,ENE,NE,No,Yes,285
NNE,NW,WNW,Yes,Yes,286
W,S,W,Yes,No,287
W,SSW,SW,No,No,288
SW,ENE,NNW,No,No,289
W,E,NW,No,No,290
N,SE,WNW,No,No,291
W,ESE,W,No,No,292
NE,SE,NNW,No,No,293
NNW,S,NNW,No,No,294
SW,WSW,WNW,No,Yes,295
SSW,SSE,SSE,Yes,No,296
NNW,SE,NE,No,No,297
W,N,W,No,No,298
SW,W,WSW,No,No,299
W,SSE,WNW,No,No,300
NNW,SE,NNW,No,No,301
WSW,WNW,W,No,No,302
SSW,SSE,WNW,No,No,303
WNW,E,WSW,No,No,304
W,S,WSW,No,No,305
NW,SE,WNW,No,No,306
SSE,SE,NNE,No,No,307
NE,SSE,NW,No,No,308
NE,ENE,E,No,No,309
E,S,SSE,No,Yes,310
ENE,SSE,NE,Yes,No,311
E,SSE,ESE,No,No,312
SE,S,SSW,Yes,Yes,313
SE,SE,SE,Yes,No,314
SE,SE,E,No,No,315
NNW,ESE,ESE,No,No,316
NE,E,NE,No,No,317
ESE,SSW,SE,No,No,318
SE,SSE,E,No,No,319
ESE,SSE,SSW,,No,320
NW,SE,N,No,No,321
SSW,SE,SE,No,Yes,322
E,ENE,NW,Yes,No,323
W,W,SSE,No,No,324
NE,SE,E,,Yes,325
SSE,SE,ESE,,No,326
NE,NE,NE,No,Yes,327
WSW,W,N,Yes,Yes,328
SE,NW,E,Yes,Yes,329
NW,WNW,WNW,Yes,No,330
SSE,SE,SE,,No,331
NNE,S,W,No,No,332
SE,SSE,SSE,No,No,333
SSW,N,W,No,No,334
SSE,SE,W,No,No,335
W,SSE,SW,No,No,336
WNW,SSE,WNW,No,No,337
WNW,S,WNW,No,No,338
NNW,E,NNW,No,No,339
W,ENE,N,No,Yes,340
SSE,SSE,NE,No,No,341
SE,SE,N,No,No,342
SE,SSE,ENE,No,No,343
N,NNE,WNW,Yes,Yes,344
NW,WNW,WSW,Yes,No,345
E,SE,SSE,No,No,346
WNW,NE,NE,No,Yes,347
WNW,NW,W,Yes,No,348
SW,W,SW,No,No,349
SW,SSW,W,No,No,350
SSE,E,SSW,No,No,351
SSE,S,SSE,No,No,352
ENE,SSE,E,No,No,353
NW,ENE,SSW,No,No,354
NNW,ESE,NNW,No,Yes,355
NNW,NNE,NNW,Yes,Yes,356
W,WSW,W,Yes,No,357
SSE,E,S,No,No,358
NW,NE,WNW,Yes,No,359
W,WSW,WSW,No,No,360
SSW,NE,ESE,No,No,361
WNW,WSW,N,No,Yes,362
ENE,E,SSE,No,No,363
WSW,WNW,WSW,No,No,364
SE,E,SE,No,No,365
ESE,S,SSE,No,No,366
WNW,NNW,WNW,No,No,367
NNW,ESE,NNW,No,No,368
ESE,ESE,ESE,No,Yes,369
E,E,SSE,Yes,Yes,370
N,E,SE,Yes,Yes,371
SE,SSW,SSE,Yes,No,372
SW,ESE,WSW,No,No,373
SW,SE,ENE,No,No,374
WNW,NNW,WNW,No,Yes,375
W,WSW,WSW,Yes,No,376
ESE,NNW,SSE,No,No,377
SSE,SE,ESE,No,No,378
NNW,E,E,No,Yes,379
W,NW,W,Yes,Yes,380
WNW,WNW,NW,Yes,No,381
ENE,E,E,No,No,382
NNE,E,SE,No,Yes,383
WNW,WNW,N,Yes,No,384
W,SW,NW,No,No,385
NNW,SE,WSW,No,No,386
N,SSE,NNW,No,Yes,387
SSE,WNW,W,Yes,No,388
N,NNW,NNE,No,Yes,389
N,W,NW,Yes,No,390
WNW,NW,E,No,Yes,391
ENE,NNE,NNW,No,No,392
ENE,NE,N,No,Yes,393
NW,S,S,Yes,No,394
W,S,N,No,No,395
ESE,N,ESE,No,Yes,396
NNE,ENE,N,No,Yes,397
W,WSW,NW,Yes,Yes,398
WNW,N,WSW,Yes,Yes,399
WSW,N,WNW,,No,400
E,NW,NE,No,Yes,401
NNW,E,N,Yes,Yes,402
NNE,NE,N,Yes,Yes,403
SW,W,WSW,Yes,No,404
ENE,NE,NE,No,Yes,405
WNW,NNE,N,Yes,Yes,406
W,N,W,Yes,Yes,407
NW,NNW,NW,Yes,Yes,408
W,WNW,WNW,Yes,No,409
WNW,WNW,W,No,No,410
N,E,NW,No,No,411
WNW,NW,NNW,Yes,Yes,412
WNW,WNW,NNW,Yes,Yes,413
NW,NNW,WNW,Yes,Yes,414
WSW,ENE,W,No,No,415
WSW,W,NW,No,No,416
NW,SSW,SW,No,No,417
SE,SSE,E,No,Yes,418
N,NE,N,Yes,Yes,419
NNW,NW,W,Yes,Yes,420
NW,NW,W,Yes,Yes,421
SW,SE,WSW,Yes,No,422
NNE,ESE,ENE,No,No,423
ENE,SE,ENE,No,Yes,424
WNW,S,WNW,Yes,No,425
W,E,WNW,No,No,426
WSW,SE,SE,No,No,427
WSW,W,WNW,No,No,428
WSW,W,W,No,No,429
W,WNW,W,No,No,430
W,W,SE,No,No,431
NE,E,WNW,No,No,432
NW,S,NNW,No,No,433
WNW,NW,WNW,No,No,434
NNW,E,WNW,No,No,435
NE,NW,NE,No,No,436
NE,SSE,NNE,No,No,437
NE,WNW,NNW,No,No,438
NE,ESE,SE,No,No,439
W,ESE,N,No,Yes,440
WSW,W,WSW,Yes,No,441
N,SSW,ESE,No,No,442
NE,W,NE,No,No,443
E,SE,NNE,No,No,444
NNE,ESE,ENE,No,Yes,445
WSW,NNE,E,Yes,Yes,446
W,NNW,W,Yes,Yes,447
WNW,NNW,NE,Yes,Yes,448
WNW,WNW,NW,No,No,449
W,NW,WNW,No,No,450
WNW,W,WSW,No,No,451
NNE,E,N,No,No,452
W,W,NW,No,Yes,453
SSE,SE,S,Yes,No,454
WNW,SE,NW,No,Yes,455
WNW,S,W,Yes,No,456
NE,E,ENE,No,Yes,457
NE,SE,ENE,Yes,Yes,458
NNW,N,NNW,Yes,Yes,459
W,W,W,Yes,No,460
SW,WSW,WSW,No,No,461
ENE,SE,SE,No,No,462
ENE,SE,NNE,No,No,463
W,SE,N,No,Yes,464
NW,N,WSW,Yes,No,465
WSW,E,NNW,No,No,466
N,SSE,NNE,No,No,467
NNE,NE,NE,No,No,468
ENE,E,ENE,No,Yes,469
N,WNW,WNW,Yes,Yes,470
SE,SSE,S,No,No,471
NE,E,SSE,No,No,472
N,E,W,No,No,473
N,ENE,NNE,No,No,474
N,NNE,NNE,No,No,475
W,ENE,WSW,No,Yes,476
WSW,NNW,ENE,Yes,Yes,477
N,SE,N,Yes,Yes,478
NNE,NNW,NW,Yes,Yes,479
SSE,SE,SE,Yes,Yes,480
SE,SE,NE,Yes,Yes,481
NW,ESE,S,No,Yes,482
NNE,SE,S,Yes,Yes,483
WSW,SSW,WNW,Yes,No,484
ENE,SE,NE,No,No,485
NNW,NNE,NNE,Yes,Yes,486
NW,W,WNW,No,No,487
WNW,ESE,SW,No,No,488
NNE,ENE,NNW,No,No,489
NW,NE,W,No,No,490
WNW,NNW,W,No,Yes,491
W,ENE,NNW,Yes,Yes,492
WSW,W,WSW,Yes,Yes,493
WSW,WSW,W,Yes,No,494
SW,ESE,SE,No,No,495
NE,SE,ENE,No,No,496
SW,E,W,No,No,497
SSE,SE,ENE,No,No,498
NW,N,SW,No,No,499
ENE,S,WSW,No,No,500
W,SW,WSW,No,No,501
SSE,ENE,SW,No,No,502
NNE,SE,N,No,No,503
NNE,NNE,SW,No,No,504
ENE,SE,SSE,No,Yes,505
ENE,SSE,ENE,Yes,Yes,506
NE,NE,NW,Yes,Yes,507
NE,ESE,ENE,Yes,Yes,508
WSW,SE,SSE,Yes,No,509
WSW,S,NW,No,No,510
W,S,S,No,No,511
NE,E,SE,No,No,512
E,SSE,NNE,No,No,513
N,SE,NNW,No,No,514
NE,ESE,N,No,No,515
ENE,E,S,No,No,516
SW,S,W,No,No,517
SW,S,SSW,No,No,518
NW,ENE,NNW,No,No,519
S,SSE,S,No,No,520
NW,E,NW,No,No,521
NNE,NNE,N,No,Yes,522
WNW,S,SE,Yes,Yes,523
NW,NE,NW,Yes,Yes,524
WSW,WNW,W,Yes,No,525
SSE,SSE,WNW,No,No,526
SE,ESE,SE,No,No,527
NNE,S,E,No,No,528
N,SSE,ENE,No,Yes,529
SW,NE,NNW,Yes,Yes,530
ESE,ESE,N,No,No,531
ESE,SE,E,No,Yes,532
NNE,N,NW,Yes,Yes,533
WNW,WSW,WNW,Yes,No,534
W,WSW,W,No,No,535
SW,SSE,SSW,No,No,536
WSW,ESE,W,No,No,537
WSW,NE,WSW,No,No,538
WNW,S,NNW,No,No,539
W,SSE,N,No,No,540
WNW,SSW,NE,No,Yes,541
SE,SSE,ESE,Yes,No,542
WSW,ESE,WSW,No,No,543
SE,ESE,NNE,No,No,544
N,ENE,ENE,Yes,Yes,545
SSE,S,SE,Yes,No,546
E,SE,NE,No,No,547
WNW,SSW,SSE,No,No,548
NNE,SSE,ENE,No,No,549
SE,SE,ENE,No,No,550
E,SSE,NE,No,No,551
W,NNW,WNW,No,Yes,552
WNW,NNW,WNW,Yes,No,553
SSE,NNW,SE,No,No,554
E,S,ENE,No,No,555
SW,ESE,NW,No,No,556
WSW,SSW,NE,No,Yes,557
W,WNW,WNW,Yes,Yes,558
E,E,ENE,No,No,559
WNW,NNE,WNW,Yes,Yes,560
W,NE,WSW,No,No,561
N,NNW,SSE,No,No,562
NW,ENE,NW,No,Yes,563
WSW,W,WNW,Yes,No,564
SW,S,NW,No,Yes,565
WSW,W,SSW,No,No,566
SSE,NNE,SSE,No,No,567
S,E,S,No,No,568
WNW,NW,W,No,No,569
NW,WNW,WNW,No,No,570
N,NNE,NNE,Yes,Yes,571
NNW,NW,WNW,Yes,No,572
NW,WNW,NW,No,Yes,573
WNW,NE,S,No,No,574
NE,NE,NNW,No,No,575
N,E,SE,No,No,576
SE,ESE,S,No,Yes,577
W,N,NW,Yes,Yes,578
NW,NW,NNW,Yes,Yes,579
WNW,WNW,WNW,Yes,No,580
W,WNW,WNW,No,Yes,581
SW,S,ENE,Yes,No,582
W,SE,SSE,No,Yes,583
WNW,W,N,Yes,Yes,584
SE,NW,S,No,No,585
NW,SE,NW,Yes,Yes,586
WNW,NE,S,Yes,No,587
SE,ESE,S,No,No,588
E,NW,ESE,No,No,589
SE,WNW,SSE,No,No,590
E,NNE,ENE,No,No,591
NNE,ESE,N,No,No,592
ESE,SE,NNE,No,Yes,593
WSW,SE,ESE,Yes,Yes,594
WNW,WNW,SSW,Yes,Yes,595
WSW,S,W,Yes,Yes,596
W,ENE,WNW,Yes,Yes,597
WNW,N,W,Yes,Yes,598
SSE,SE,SE,Yes,No,599
SW,SSE,W,No,No,600
ENE,SE,ESE,Yes,No,601
NE,SE,NE,Yes,Yes,602
SW,ESE,SW,No,No,603
WSW,NNE,NW,No,No,604
S,E,NNE,No,No,605
ENE,ESE,SE,No,No,606
N,SSE,N,No,No,607
WNW,S,W,No,No,608
WNW,SE,WSW,No,No,609
ESE,SE,E,No,No,610
NE,ESE,ENE,No,No,611
ENE,ENE,E,No,Yes,612
W,N,W,Yes,No,613
S,W,WSW,No,No,614
W,ESE,WSW,,No,615
WNW,SE,NE,No,No,616
W,WNW,W,No,Yes,617
ENE,E,N,No,No,618
SE,ESE,NW,No,No,619
SSE,S,E,No,No,620
ENE,ESE,NNE,No,No,621
ENE,ESE,NE,No,No,622
WNW,ESE,ENE,No,Yes,623
NW,WNW,WNW,Yes,Yes,624
ENE,SE,SW,Yes,Yes,625
SSE,S,S,Yes,No,626
WSW,SSE,E,No,No,627
SSW,ESE,S,No,No,628
ENE,SE,SSE,No,No,629
SW,S,S,No,Yes,630
W,S,WSW,Yes,No,631
WSW,W,WNW,No,Yes,632
WNW,WNW,WSW,,No,633
NNE,ESE,NNE,No,No,634
NE,ESE,NE,No,No,635
W,S,ESE,No,No,636
NNW,SE,WNW,No,No,637
WSW,SSE,SSE,No,No,638
WSW,ENE,S,No,No,639
ENE,SW,S,No,No,640
NE,SSE,WNW,No,No,641
W,NNW,SW,No,Yes,642
SE,SE,SSE,Yes,No,643
E,SE,ENE,No,No,644
ENE,ESE,NE,No,Yes,645
W,N,NW,Yes,No,646
SW,SE,W,No,No,647
WSW,ESE,WNW,No,No,648
SW,SW,WNW,No,No,649
SW,ESE,ESE,No,No,650
NW,ESE,NNW,No,Yes,651
E,ENE,E,Yes,No,652
WNW,SSE,NNW,No,Yes,653
ENE,ESE,N,No,No,654
W,NNW,W,No,No,655
WNW,SSE,W,No,No,656
WSW,SSE,SSW,No,No,657
S,SSE,SSE,No,No,658
N,S,NNW,Yes,No,659
NNE,E,NW,No,No,660
W,E,N,No,Yes,661
WSW,WNW,WNW,Yes,Yes,662
WSW,SE,WSW,Yes,No,663
SE,SE,NW,No,No,664
W,NNE,WNW,No,No,665
ESE,SE,SE,No,No,666
NW,E,S,No,No,667
W,NNE,SSW,No,No,668
SSE,ESE,NE,No,No,669
ENE,SE,ENE,No,No,670
W,SSE,SW,Yes,No,671
SE,S,SSW,No,No,672
S,SSE,SE,No,No,673
SE,ESE,ENE,No,No,674
SE,SSE,N,No,No,675
NNE,N,WNW,Yes,No,676
ENE,SE,E,No,No,677
SE,SE,SSE,No,Yes,678
SW,SE,N,Yes,Yes,679
SE,NE,SW,Yes,No,680
SW,SSE,ENE,No,No,681
SSW,SSE,SSW,No,No,682
NW,SE,W,No,No,683
W,SE,SW,No,No,684
SSE,SE,SSW,No,No,685
NNE,ENE,NE,No,Yes,686
NNW,NNE,WSW,Yes,Yes,687
NW,W,W,No,No,688
SW,W,WSW,No,Yes,689
S,ESE,N,Yes,No,690
SE,SSE,ESE,No,No,691
NNE,SE,SSE,No,No,692
ENE,ENE,NE,No,No,693
NNW,NE,ENE,No,No,694
WSW,SE,NW,No,No,695
ENE,SE,S,No,No,696
NNE,SE,S,No,No,697
N,SE,SE,No,No,698
N,SSE,WSW,No,No,699
ENE,SSE,ESE,No,No,700
E,SE,WSW,No,No,701
NNE,SE,E,No,No,702
ENE,NE,ENE,No,Yes,703
WNW,NNW,NNW,Yes,Yes,704
SE,WSW,W,Yes,No,705
NNE,SE,NNE,No,No,706
SSW,SSE,WSW,No,No,707
WNW,SSE,SW,No,No,708
NNW,SE,N,No,Yes,709
W,SSE,SE,No,No,710
NNW,NE,N,No,No,711
ENE,S,ESE,No,Yes,712
W,ESE,WNW,Yes,No,713
S,SSE,WNW,No,Yes,714
W,E,ENE,Yes,No,715
NE,SSE,SE,No,No,716
ENE,SE,N,No,No,717
SE,ENE,SSE,No,No,718
NNW,SSW,SE,No,No,719
ESE,ENE,S,No,No,720
NE,ESE,SSE,No,No,721
SE,SSE,WSW,No,Yes,722
S,SE,NNW,Yes,No,723
NE,SSE,W,No,No,724
NE,SE,S,Yes,Yes,725
NNE,NNE,NE,Yes,Yes,726
NNE,NNE,SSW,Yes,No,727
SSE,SSE,SE,No,Yes,728
SE,N,SE,Yes,Yes,729
NNE,SE,ESE,No,Yes,730
WSW,WNW,WNW,Yes,No,731
S,SW,SW,No,No,732
NW,ESE,NNE,No,No,733
NNE,ESE,NNE,Yes,Yes,734
SW,NNW,WNW,Yes,Yes,735
WNW,SSW,W,Yes,No,736
SSE,S,ESE,No,No,737
NE,ESE,NNE,No,No,738
WNW,ENE,WNW,No,No,739
NNW,S,NW,No,No,740
N,E,ESE,No,Yes,741
ESE,SSE,ESE,Yes,No,742
E,E,NNE,No,No,743
SE,ESE,SSE,No,No,744
ESE,E,SSW,No,No,745
WNW,ESE,NNE,No,No,746
W,SW,WNW,No,No,747
WSW,SSE,WNW,No,No,748
SSW,WSW,ENE,No,No,749
SW,ENE,SSW,No,No,750
ESE,SSE,SSE,No,No,751
SW,SSE,E,Yes,No,752
NNE,SE,SE,No,Yes,753
NE,NNE,NNE,Yes,Yes,754
NW,WSW,NW,No,No,755
SSE,ENE,SSE,No,No,756
W,NE,WNW,No,Yes,757
WSW,ENE,ENE,No,No,758
ESE,WSW,E,No,No,759
WSW,S,SE,No,No,760
W,E,SW,No,No,761
ENE,NE,NNW,No,No,762
WSW,N,NW,No,No,763
NE,E,E,No,No,764
NNE,E,NNE,No,No,765
ENE,E,S,No,Yes,766
SE,S,WSW,No,No,767
E,NW,SE,No,No,768
ESE,SSE,E,No,No,769
W,WSW,W,No,Yes,770
SE,S,SE,Yes,No,771
WSW,S,NNW,No,No,772
NE,S,SE,No,No,773
SE,ENE,ESE,No,No,774
NE,ENE,W,No,No,775
SE,NNW,E,No,No,776
W,NW,NNW,No,No,777
N,NE,NNE,No,Yes,778
NNW,NNW,WNW,Yes,No,779
W,NE,W,Yes,No,780
NW,N,WNW,Yes,Yes,781
WNW,SW,S,No,No,782
ENE,SSE,NE,Yes,Yes,783
NNW,N,NNE,Yes,No,784
NW,NNE,WNW,Yes,Yes,785
WNW,N,NW,Yes,Yes,786
NW,W,WNW,Yes,Yes,787
N,NNE,N,Yes,No,788
WSW,SW,NW,No,No,789
SW,E,SSW,No,No,790
N,N,NNW,Yes,Yes,791
NNE,ENE,NE,Yes,Yes,792
WNW,NE,WNW,Yes,Yes,793
NNW,S,SE,No,No,794
WNW,ESE,W,Yes,No,795
W,NE,WNW,No,No,796
SE,N,S,No,No,797
N,SE,NE,No,No,798
ENE,E,ENE,No,No,799
NW,WNW,WSW,No,Yes,800
WNW,NW,NW,Yes,No,801
SE,E,S,No,No,802
WNW,SE,N,No,No,803
WNW,WNW,WSW,No,No,804
SSW,SW,WSW,No,No,805
N,N,NE,No,No,806
NNW,NNW,N,No,Yes,807
SE,ENE,SE,No,No,808
N,SE,N,No,Yes,809
W,ESE,WNW,No,No,810
SE,ESE,E,No,No,811
WSW,E,WNW,No,No,812
NE,E,NW,No,No,813
NNW,SW,SE,No,Yes,814
NE,N,NE,Yes,No,815
W,SE,E,No,No,816
NW,SE,SSE,No,No,817
WNW,ESE,WNW,No,No,818
SE,SE,NNE,No,No,819
NNE,ENE,NE,No,No,820
N,N,W,No,Yes,821
SSW,E,WSW,No,No,822
SSW,E,WNW,No,No,823
WSW,SW,W,Yes,No,824
NW,WNW,NW,No,No,825
SSE,SSE,S,No,Yes,826
W,SSE,WSW,Yes,No,827
WNW,E,W,No,No,828
SW,SE,NW,No,No,829
WNW,E,N,No,No,830
E,ESE,ENE,No,No,831
WSW,S,ESE,No,No,832
ESE,SE,SSE,No,No,833
